  44.82
 133.00
 587675987
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31185.94	0.00	229.98	0.00	-6.02	-6.02	250.13
1980 01 02 12	31302.07	0.00	234.29	0.00	-5.28	-5.28	256.83
1980 01 03 12	31370.89	0.00	241.54	0.00	-6.05	-6.05	226.09
1980 01 04 12	31449.60	0.00	228.29	0.00	-9.30	-9.30	179.91
1980 01 05 12	31449.60	0.00	205.40	0.00	-10.99	-10.99	167.17
1980 01 06 12	31449.60	0.10	193.36	0.00	-11.44	-11.44	159.38
1980 01 07 12	31596.25	0.78	201.17	0.00	-8.82	-8.82	196.37
1980 01 08 12	31716.49	0.65	198.28	0.00	-2.51	-2.51	307.43
1980 01 09 12	31795.20	0.12	226.25	0.00	-3.85	-3.85	282.84
1980 01 10 12	31795.20	0.00	248.25	0.00	-8.06	-8.06	202.01
1980 01 11 12	31805.08	13.83	212.86	0.00	-6.68	-6.68	234.07
1980 01 12 12	32025.19	6.64	220.68	0.00	1.34	1.34	396.89
1980 01 13 12	32140.80	0.79	229.67	0.00	-2.24	-2.24	330.50
1980 01 14 12	32140.80	0.00	261.34	0.00	-3.81	-3.81	322.86
1980 01 15 12	32287.45	0.18	183.31	0.00	1.85	1.85	506.36
1980 01 16 12	32464.00	0.05	260.21	0.00	-1.18	-1.18	365.93
1980 01 17 12	32486.40	1.20	188.59	0.00	-4.30	-4.30	308.46
1980 01 18 12	32496.28	0.78	166.89	0.00	-2.13	-2.13	409.47
1980 01 19 12	32809.60	0.12	151.47	0.00	0.73	0.73	520.47
1980 01 20 12	32832.00	0.00	198.83	0.00	-0.50	-0.50	435.04
1980 01 21 12	32841.88	0.00	267.84	0.00	-6.19	-6.19	243.21
1980 01 22 12	33155.20	3.18	209.16	0.00	-9.44	-9.44	196.26
1980 01 23 12	33177.60	3.54	204.94	0.00	-6.09	-6.09	247.46
1980 01 24 12	33324.25	0.80	265.32	0.00	-8.83	-8.83	172.03
1980 01 25 12	33523.20	0.15	244.92	0.00	-13.39	-13.39	126.56
1980 01 26 12	33523.20	0.03	283.82	0.00	-11.43	-11.43	155.28
1980 01 27 12	33753.19	0.00	289.33	0.00	-8.31	-8.31	198.55
1980 01 28 12	33868.80	0.00	274.88	0.00	-6.25	-6.25	232.09
1980 01 29 12	33950.74	0.00	295.19	0.00	-7.78	-7.78	191.07
1980 01 30 12	34214.40	0.00	292.32	0.00	-11.10	-11.10	144.27
1980 01 31 12	34214.40	0.00	274.32	0.00	-13.11	-13.11	130.86
1980 02 01 12	34481.29	0.00	283.37	0.00	-12.85	-12.85	138.15
1980 02 02 12	34560.00	0.00	265.94	0.00	-11.33	-11.33	156.76
1980 02 03 12	34758.07	0.00	285.99	0.00	-11.94	-11.94	151.59
1980 02 04 12	34905.60	0.00	294.97	0.00	-9.55	-9.55	178.32
1980 02 05 12	34987.54	0.04	254.03	0.00	-9.03	-9.03	183.80
1980 02 06 12	35251.20	0.01	292.97	0.00	-7.99	-7.99	203.26
1980 02 07 12	35251.20	0.04	258.64	0.00	-7.52	-7.52	210.80
1980 02 08 12	35596.80	0.01	285.42	0.00	-6.83	-6.83	222.79
