  45.06
 318.00
 771486538
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31101.64	0.00	228.42	0.00	-8.22	-8.22	233.89
1980 01 02 12	31104.00	0.00	212.41	0.00	-5.45	-5.45	291.96
1980 01 03 12	31104.00	0.00	218.78	0.00	-9.05	-9.05	167.61
1980 01 04 12	31104.00	0.00	239.40	0.00	-12.41	-12.41	120.36
1980 01 05 12	31253.93	0.00	224.05	0.00	-11.67	-11.67	119.97
1980 01 06 12	31413.66	1.16	238.00	0.00	-13.34	-13.34	128.83
1980 01 07 12	31449.60	1.42	113.58	0.00	-8.95	-8.95	256.54
1980 01 08 12	31449.60	1.45	125.34	0.00	-4.04	-4.04	350.35
1980 01 09 12	31454.02	0.00	190.11	0.00	-6.45	-6.45	210.22
1980 01 10 12	31671.73	0.11	181.39	0.00	-10.15	-10.15	147.40
1980 01 11 12	31795.20	1.45	78.24	0.00	-7.27	-7.27	319.17
1980 01 12 12	31795.20	15.24	156.91	0.00	0.85	0.85	572.05
1980 01 13 12	31799.62	0.54	227.74	0.00	-10.08	-10.08	117.61
1980 01 14 12	32065.22	1.88	111.17	0.00	-2.93	-2.93	342.86
1980 01 15 12	32140.80	1.36	205.73	0.00	1.26	1.26	611.54
1980 01 16 12	32140.80	0.00	255.32	0.00	-5.64	-5.64	235.17
1980 01 17 12	32362.93	0.02	176.15	0.00	-6.66	-6.66	246.31
1980 01 18 12	32486.40	0.39	134.25	0.00	-1.91	-1.91	478.51
1980 01 19 12	32486.40	0.00	125.65	0.00	0.32	0.32	576.92
1980 01 20 12	32708.53	0.05	197.26	0.00	-3.19	-3.19	324.80
1980 01 21 12	32832.00	0.72	129.92	0.00	-12.16	-12.16	103.60
1980 01 22 12	32832.00	0.50	206.93	0.00	-12.22	-12.22	110.72
1980 01 23 12	33102.02	5.56	127.57	0.00	-5.49	-5.49	381.57
1980 01 24 12	33177.60	0.94	186.18	0.00	-11.17	-11.17	209.93
1980 01 25 12	33182.02	0.01	263.22	0.00	-16.43	-16.43	109.57
1980 01 26 12	33523.20	0.00	272.64	0.00	-13.00	-13.00	157.81
1980 01 27 12	33523.20	0.00	283.52	0.00	-9.45	-9.45	219.94
1980 01 28 12	33745.33	0.00	194.37	0.00	-9.65	-9.65	211.26
1980 01 29 12	33868.80	0.00	287.01	0.00	-12.42	-12.42	157.04
1980 01 30 12	33873.22	0.00	192.89	0.00	-16.38	-16.38	102.62
1980 01 31 12	34214.40	0.00	169.26	0.00	-16.68	-16.68	107.84
1980 02 01 12	34214.40	0.00	201.00	0.00	-14.68	-14.68	132.62
